s (1,1) 330
s (2,1) 805
s (3,1) 516
s (4,1) 217
s (5,1) 202
s (6,1) 928
s (7,1) 146
s (8,1) 809
s (9,1) 788
s (10,1) 242
s (11,1) 865
s (12,1) 582
s (13,1) 370
s (14,1) 913
s (15,1) 503
s (16,1) 842
s (17,1) 930
s (18,1) 178
s (19,1) 521
s (20,1) 316
s (21,1) 536
s (22,1) 988
s (23,1) 207
s (24,1) 455
s (25,1) 465
s (26,1) 234
s (27,1) 18
s (28,1) 509
s (29,1) 8
s (30,1) 467
s (31,1) 98
s (32,1) 995
s (33,1) 254
s (34,1) 736
s (35,1) 268
s (36,1) 66
s (37,1) 66
s (38,1) 945
s (39,1) 193
s (40,1) 338
s (41,1) 40
s (42,1) 292
s (43,1) 986
s (44,1) 674
s (45,1) 574
s (46,1) 571
s (47,1) 518
s (48,1) 152
s (49,1) 969
s (50,1) 128
s (51,1) 854
s (52,1) 97
s (53,1) 374
s (54,1) 976
s (55,1) 256
s (56,1) 582
s (57,1) 356
s (58,1) 18
s (59,1) 111
s (60,1) 548
s (61,1) 967
s (62,1) 443
s (63,1) 860
s (64,1) 414
s (65,1) 448
s (66,1) 615
s (67,1) 438
s (68,1) 465
s (69,1) 519
s (70,1) 117
s (71,1) 300
s (72,1) 468
s (73,1) 755
s (74,1) 575
s (75,1) 755
s (76,1) 993
s (77,1) 8
s (78,1) 85
s (79,1) 356
s (80,1) 805
s (81,1) 239
s (82,1) 725
s (83,1) 421
s (84,1) 120
s (85,1) 627
s (86,1) 561
s (87,1) 679
s (88,1) 16
s (89,1) 255
s (90,1) 718
s (91,1) 735
s (92,1) 113
s (93,1) 838
s (94,1) 404
s (95,1) 518
s (96,1) 353
s (97,1) 346
s (98,1) 782
s (99,1) 547
s (100,1) 67
s (101,1) 598
s (102,1) 112
s (103,1) 969
s (104,1) 547
s (105,1) 591
s (106,1) 392
s (107,1) 363
s (108,1) 136
s (109,1) 533
s (110,1) 371
s (111,1) 795
s (112,1) 755
s (113,1) 959
s (114,1) 333
s (115,1) 354
s (116,1) 379
s (117,1) 172
s (118,1) 84
s (119,1) 521
s (120,1) 914
s (121,1) 254
s (122,1) 801
s (123,1) 862
s (124,1) 991
s (125,1) 793
s (126,1) 180
s (127,1) 227
s (128,1) 697
s (129,1) 66
s (130,1) 707
s (131,1) 577
s (132,1) 940
s (133,1) 138
s (134,1) 974
s (135,1) 106
s (136,1) 99
s (137,1) 458
s (138,1) 274
s (139,1) 555
s (140,1) 931
s (141,1) 72
s (142,1) 729
s (143,1) 776
s (144,1) 224
s (145,1) 327
s (146,1) 938
s (147,1) 633
s (148,1) 358
s (149,1) 789
s (150,1) 194
s (151,1) 450
s (152,1) 246
s (153,1) 869
s (154,1) 431
s (155,1) 705
s (156,1) 67
s (157,1) 765
s (158,1) 37
s (159,1) 40
s (160,1) 40
s (161,1) 99
s (162,1) 439
s (163,1) 723
s (164,1) 536
s (165,1) 904
s (166,1) 523
s (167,1) 531
s (168,1) 617
s (169,1) 270
s (170,1) 810
s (171,1) 897
s (172,1) 629
s (173,1) 998
s (174,1) 386
s (175,1) 926
s (176,1) 327
s (177,1) 802
s (178,1) 771
s (179,1) 343
s (180,1) 519
s (181,1) 865
s (182,1) 234
s (183,1) 894
s (184,1) 674
s (185,1) 520
s (186,1) 261
s (187,1) 899
s (188,1) 89
s (189,1) 126
s (190,1) 676
s (191,1) 737
s (192,1) 443
s (193,1) 888
s (194,1) 616
s (195,1) 253
s (196,1) 850
s (197,1) 323
s (198,1) 211
s (199,1) 722
s (200,1) 552
s (201,1) 33
s (202,1) 163
s (203,1) 280
s (204,1) 643
s (205,1) 450
s (206,1) 36
s (207,1) 731
s (208,1) 172
s (209,1) 595
s (210,1) 777
s (211,1) 359
s (212,1) 592
s (213,1) 492
s (214,1) 863
s (215,1) 256
s (216,1) 865
s (217,1) 148
s (218,1) 422
s (219,1) 984
s (220,1) 172
s (221,1) 287
s (222,1) 757
s (223,1) 730
s (224,1) 911
s (225,1) 39
s (226,1) 753
s (227,1) 948
s (228,1) 615
s (229,1) 232
s (230,1) 641
s (231,1) 673
s (232,1) 835
s (233,1) 77
s (234,1) 817
s (235,1) 828
s (236,1) 225
s (237,1) 9
s (238,1) 114
s (239,1) 345
s (240,1) 835
s (241,1) 240
s (242,1) 906
s (243,1) 813
s (244,1) 398
s (245,1) 964
s (246,1) 733
s (247,1) 662
s (248,1) 623
s (249,1) 347
s (250,1) 487
s (251,1) 244
s (252,1) 49
s (253,1) 605
s (254,1) 564
s (255,1) 63
s (256,1) 143
s (257,1) 51
s (258,1) 551
s (259,1) 930
s (260,1) 370
s (261,1) 155
s (262,1) 547
s (263,1) 725
s (264,1) 952
s (265,1) 976
s (266,1) 313
s (267,1) 593
s (268,1) 378
s (269,1) 894
s (270,1) 239
s (271,1) 221
s (272,1) 393
s (273,1) 172
s (274,1) 65
s (275,1) 45
s (276,1) 652
s (277,1) 66
s (278,1) 823
s (279,1) 482
s (280,1) 704
s (281,1) 698
s (282,1) 203
s (283,1) 364
s (284,1) 700
s (285,1) 795
s (286,1) 685
s (287,1) 947
s (288,1) 831
s (289,1) 800
s (290,1) 677
s (291,1) 550
s (292,1) 513
s (293,1) 551
s (294,1) 244
s (295,1) 802
s (296,1) 835
s (297,1) 501
s (298,1) 983
s (299,1) 404
s (300,1) 547
s (301,1) 926
s (302,1) 472
s (303,1) 434
s (304,1) 352
s (305,1) 691
s (306,1) 123
s (307,1) 164
s (308,1) 815
s (309,1) 724
s (310,1) 875
s (311,1) 504
s (312,1) 960
s (313,1) 37
s (314,1) 143
s (315,1) 683
s (316,1) 600
s (317,1) 726
s (318,1) 996
s (319,1) 395
s (320,1) 691
s (321,1) 897
s (322,1) 967
s (323,1) 185
s (324,1) 941
s (325,1) 120
s (326,1) 135
s (327,1) 596
s (328,1) 422
s (329,1) 71
s (330,1) 197
s (331,1) 616
s (332,1) 888
s (333,1) 309
s (334,1) 898
s (335,1) 894
s (336,1) 270
s (337,1) 176
s (338,1) 883
s (339,1) 965
s (340,1) 819
s (341,1) 494
s (342,1) 667
s (343,1) 958
s (344,1) 59
s (345,1) 552
s (346,1) 901
s (347,1) 381
s (348,1) 186
s (349,1) 409
s (350,1) 252
s (351,1) 515
s (352,1) 815
s (353,1) 516
s (354,1) 162
s (355,1) 161
s (356,1) 429
s (357,1) 483
s (358,1) 641
s (359,1) 831
s (360,1) 638
s (361,1) 492
s (362,1) 969
s (363,1) 850
s (364,1) 724
s (365,1) 174
s (366,1) 967
s (367,1) 419
s (368,1) 118
s (369,1) 553
s (370,1) 102
s (371,1) 588
s (372,1) 595
s (373,1) 51
s (374,1) 100
s (375,1) 102
s (376,1) 774
s (377,1) 7
s (378,1) 548
s (379,1) 743
s (380,1) 582
s (381,1) 201
s (382,1) 395
s (383,1) 479
s (384,1) 632
s (385,1) 484
s (386,1) 241
s (387,1) 937
s (388,1) 11
s (389,1) 396
s (390,1) 879
s (391,1) 878
s (392,1) 624
s (393,1) 879
s (394,1) 303
s (395,1) 572
s (396,1) 68
s (397,1) 949
s (398,1) 228
s (399,1) 462
s (400,1) 60
s (401,1) 841
s (402,1) 999
s (403,1) 350
s (404,1) 724
s (405,1) 832
s (406,1) 938
s (407,1) 862
s (408,1) 772
s (409,1) 735
s (410,1) 453
s (411,1) 163
s (412,1) 359
s (413,1) 849
s (414,1) 52
s (415,1) 394
s (416,1) 17
s (417,1) 621
s (418,1) 465
s (419,1) 349
s (420,1) 100
s (421,1) 158
s (422,1) 467
s (423,1) 326
s (424,1) 791
s (425,1) 172
s (426,1) 658
s (427,1) 300
s (428,1) 548
s (429,1) 895
s (430,1) 701
s (431,1) 531
s (432,1) 700
s (433,1) 308
s (434,1) 586
s (435,1) 958
s (436,1) 882
s (437,1) 73
s (438,1) 186
s (439,1) 784
s (440,1) 48
s (441,1) 570
s (442,1) 615
s (443,1) 535
s (444,1) 746
s (445,1) 806
s (446,1) 754
s (447,1) 794
s (448,1) 69
s (449,1) 995
s (450,1) 957
s (451,1) 185
s (452,1) 27
s (453,1) 797
s (454,1) 386
s (455,1) 27
s (456,1) 951
s (457,1) 838
s (458,1) 350
s (459,1) 365
s (460,1) 991
s (461,1) 296
s (462,1) 102
s (463,1) 902
s (464,1) 794
s (465,1) 710
s (466,1) 140
s (467,1) 88
s (468,1) 168
s (469,1) 241
s (470,1) 422
s (471,1) 280
s (472,1) 920
s (473,1) 741
s (474,1) 227
s (475,1) 319
s (476,1) 570
s (477,1) 35
s (478,1) 58
s (479,1) 433
s (480,1) 154
s (481,1) 826
s (482,1) 234
s (483,1) 514
s (484,1) 901
s (485,1) 559
s (486,1) 664
s (487,1) 744
s (488,1) 284
s (489,1) 275
s (490,1) 880
s (491,1) 412
s (492,1) 954
s (493,1) 931
s (494,1) 307
s (495,1) 258
s (496,1) 363
s (497,1) 947
s (498,1) 824
s (499,1) 272
s (500,1) 475
(1,1) (1,2) 276
(2,1) (2,2) 402
(3,1) (3,2) 900
(4,1) (4,2) 232
(5,1) (5,2) 165
(6,1) (6,2) 287
(7,1) (7,2) 157
(8,1) (8,2) 117
(9,1) (9,2) 381
(10,1) (10,2) 25
(11,1) (11,2) 4
(12,1) (12,2) 379
(13,1) (13,2) 662
(14,1) (14,2) 330
(15,1) (15,2) 827
(16,1) (16,2) 6
(17,1) (17,2) 997
(18,1) (18,2) 56
(19,1) (19,2) 99
(20,1) (20,2) 250
(21,1) (21,2) 878
(22,1) (22,2) 195
(23,1) (23,2) 404
(24,1) (24,2) 369
(25,1) (25,2) 317
(26,1) (26,2) 311
(27,1) (27,2) 397
(28,1) (28,2) 930
(29,1) (29,2) 287
(30,1) (30,2) 659
(31,1) (31,2) 275
(32,1) (32,2) 438
(33,1) (33,2) 871
(34,1) (34,2) 876
(35,1) (35,2) 638
(36,1) (36,2) 378
(37,1) (37,2) 580
(38,1) (38,2) 150
(39,1) (39,2) 551
(40,1) (40,2) 140
(41,1) (41,2) 487
(42,1) (42,2) 601
(43,1) (43,2) 214
(44,1) (44,2) 917
(45,1) (45,2) 795
(46,1) (46,2) 284
(47,1) (47,2) 457
(48,1) (48,2) 106
(49,1) (49,2) 197
(50,1) (50,2) 856
(51,1) (51,2) 998
(52,1) (52,2) 398
(53,1) (53,2) 683
(54,1) (54,2) 715
(55,1) (55,2) 769
(56,1) (56,2) 191
(57,1) (57,2) 297
(58,1) (58,2) 488
(59,1) (59,2) 209
(60,1) (60,2) 571
(61,1) (61,2) 302
(62,1) (62,2) 328
(63,1) (63,2) 132
(64,1) (64,2) 783
(65,1) (65,2) 853
(66,1) (66,2) 999
(67,1) (67,2) 763
(68,1) (68,2) 179
(69,1) (69,2) 856
(70,1) (70,2) 61
(71,1) (71,2) 761
(72,1) (72,2) 670
(73,1) (73,2) 982
(74,1) (74,2) 71
(75,1) (75,2) 317
(76,1) (76,2) 242
(77,1) (77,2) 653
(78,1) (78,2) 505
(79,1) (79,2) 510
(80,1) (80,2) 588
(81,1) (81,2) 595
(82,1) (82,2) 563
(83,1) (83,2) 126
(84,1) (84,2) 242
(85,1) (85,2) 750
(86,1) (86,2) 461
(87,1) (87,2) 55
(88,1) (88,2) 409
(89,1) (89,2) 924
(90,1) (90,2) 984
(91,1) (91,2) 250
(92,1) (92,2) 17
(93,1) (93,2) 652
(94,1) (94,2) 515
(95,1) (95,2) 439
(96,1) (96,2) 895
(97,1) (97,2) 371
(98,1) (98,2) 151
(99,1) (99,2) 495
(100,1) (100,2) 216
(101,1) (101,2) 75
(102,1) (102,2) 47
(103,1) (103,2) 781
(104,1) (104,2) 261
(105,1) (105,2) 46
(106,1) (106,2) 351
(107,1) (107,2) 875
(108,1) (108,2) 272
(109,1) (109,2) 488
(110,1) (110,2) 752
(111,1) (111,2) 800
(112,1) (112,2) 568
(113,1) (113,2) 50
(114,1) (114,2) 812
(115,1) (115,2) 455
(116,1) (116,2) 564
(117,1) (117,2) 99
(118,1) (118,2) 941
(119,1) (119,2) 259
(120,1) (120,2) 938
(121,1) (121,2) 633
(122,1) (122,2) 125
(123,1) (123,2) 422
(124,1) (124,2) 531
(125,1) (125,2) 949
(126,1) (126,2) 729
(127,1) (127,2) 953
(128,1) (128,2) 797
(129,1) (129,2) 717
(130,1) (130,2) 239
(131,1) (131,2) 790
(132,1) (132,2) 548
(133,1) (133,2) 147
(134,1) (134,2) 193
(135,1) (135,2) 777
(136,1) (136,2) 574
(137,1) (137,2) 114
(138,1) (138,2) 349
(139,1) (139,2) 109
(140,1) (140,2) 881
(141,1) (141,2) 224
(142,1) (142,2) 450
(143,1) (143,2) 570
(144,1) (144,2) 188
(145,1) (145,2) 159
(146,1) (146,2) 465
(147,1) (147,2) 220
(148,1) (148,2) 311
(149,1) (149,2) 462
(150,1) (150,2) 325
(151,1) (151,2) 536
(152,1) (152,2) 455
(153,1) (153,2) 413
(154,1) (154,2) 81
(155,1) (155,2) 527
(156,1) (156,2) 698
(157,1) (157,2) 990
(158,1) (158,2) 821
(159,1) (159,2) 29
(160,1) (160,2) 931
(161,1) (161,2) 710
(162,1) (162,2) 741
(163,1) (163,2) 387
(164,1) (164,2) 251
(165,1) (165,2) 490
(166,1) (166,2) 702
(167,1) (167,2) 176
(168,1) (168,2) 573
(169,1) (169,2) 855
(170,1) (170,2) 876
(171,1) (171,2) 886
(172,1) (172,2) 691
(173,1) (173,2) 474
(174,1) (174,2) 157
(175,1) (175,2) 217
(176,1) (176,2) 162
(177,1) (177,2) 942
(178,1) (178,2) 580
(179,1) (179,2) 739
(180,1) (180,2) 679
(181,1) (181,2) 995
(182,1) (182,2) 852
(183,1) (183,2) 66
(184,1) (184,2) 300
(185,1) (185,2) 859
(186,1) (186,2) 937
(187,1) (187,2) 58
(188,1) (188,2) 707
(189,1) (189,2) 305
(190,1) (190,2) 716
(191,1) (191,2) 671
(192,1) (192,2) 870
(193,1) (193,2) 667
(194,1) (194,2) 243
(195,1) (195,2) 907
(196,1) (196,2) 449
(197,1) (197,2) 302
(198,1) (198,2) 802
(199,1) (199,2) 462
(200,1) (200,2) 285
(201,1) (201,2) 168
(202,1) (202,2) 626
(203,1) (203,2) 404
(204,1) (204,2) 569
(205,1) (205,2) 136
(206,1) (206,2) 540
(207,1) (207,2) 880
(208,1) (208,2) 175
(209,1) (209,2) 825
(210,1) (210,2) 515
(211,1) (211,2) 294
(212,1) (212,2) 800
(213,1) (213,2) 326
(214,1) (214,2) 563
(215,1) (215,2) 5
(216,1) (216,2) 669
(217,1) (217,2) 984
(218,1) (218,2) 633
(219,1) (219,2) 619
(220,1) (220,2) 83
(221,1) (221,2) 731
(222,1) (222,2) 57
(223,1) (223,2) 347
(224,1) (224,2) 322
(225,1) (225,2) 39
(226,1) (226,2) 486
(227,1) (227,2) 802
(228,1) (228,2) 514
(229,1) (229,2) 249
(230,1) (230,2) 610
(231,1) (231,2) 152
(232,1) (232,2) 539
(233,1) (233,2) 793
(234,1) (234,2) 402
(235,1) (235,2) 345
(236,1) (236,2) 583
(237,1) (237,2) 391
(238,1) (238,2) 676
(239,1) (239,2) 547
(240,1) (240,2) 582
(241,1) (241,2) 711
(242,1) (242,2) 536
(243,1) (243,2) 906
(244,1) (244,2) 790
(245,1) (245,2) 875
(246,1) (246,2) 704
(247,1) (247,2) 110
(248,1) (248,2) 285
(249,1) (249,2) 504
(250,1) (250,2) 470
(251,1) (251,2) 590
(252,1) (252,2) 653
(253,1) (253,2) 816
(254,1) (254,2) 360
(255,1) (255,2) 782
(256,1) (256,2) 106
(257,1) (257,2) 526
(258,1) (258,2) 258
(259,1) (259,2) 228
(260,1) (260,2) 483
(261,1) (261,2) 633
(262,1) (262,2) 905
(263,1) (263,2) 649
(264,1) (264,2) 610
(265,1) (265,2) 311
(266,1) (266,2) 895
(267,1) (267,2) 786
(268,1) (268,2) 154
(269,1) (269,2) 867
(270,1) (270,2) 872
(271,1) (271,2) 438
(272,1) (272,2) 900
(273,1) (273,2) 218
(274,1) (274,2) 40
(275,1) (275,2) 114
(276,1) (276,2) 630
(277,1) (277,2) 439
(278,1) (278,2) 622
(279,1) (279,2) 520
(280,1) (280,2) 193
(281,1) (281,2) 174
(282,1) (282,2) 953
(283,1) (283,2) 63
(284,1) (284,2) 573
(285,1) (285,2) 909
(286,1) (286,2) 30
(287,1) (287,2) 923
(288,1) (288,2) 603
(289,1) (289,2) 806
(290,1) (290,2) 547
(291,1) (291,2) 253
(292,1) (292,2) 622
(293,1) (293,2) 89
(294,1) (294,2) 923
(295,1) (295,2) 285
(296,1) (296,2) 495
(297,1) (297,2) 398
(298,1) (298,2) 591
(299,1) (299,2) 579
(300,1) (300,2) 44
(301,1) (301,2) 89
(302,1) (302,2) 325
(303,1) (303,2) 438
(304,1) (304,2) 309
(305,1) (305,2) 478
(306,1) (306,2) 991
(307,1) (307,2) 772
(308,1) (308,2) 586
(309,1) (309,2) 988
(310,1) (310,2) 490
(311,1) (311,2) 623
(312,1) (312,2) 196
(313,1) (313,2) 126
(314,1) (314,2) 281
(315,1) (315,2) 609
(316,1) (316,2) 343
(317,1) (317,2) 124
(318,1) (318,2) 582
(319,1) (319,2) 758
(320,1) (320,2) 776
(321,1) (321,2) 544
(322,1) (322,2) 29
(323,1) (323,2) 688
(324,1) (324,2) 457
(325,1) (325,2) 996
(326,1) (326,2) 877
(327,1) (327,2) 408
(328,1) (328,2) 742
(329,1) (329,2) 457
(330,1) (330,2) 860
(331,1) (331,2) 592
(332,1) (332,2) 275
(333,1) (333,2) 563
(334,1) (334,2) 374
(335,1) (335,2) 454
(336,1) (336,2) 996
(337,1) (337,2) 760
(338,1) (338,2) 481
(339,1) (339,2) 314
(340,1) (340,2) 472
(341,1) (341,2) 735
(342,1) (342,2) 495
(343,1) (343,2) 248
(344,1) (344,2) 11
(345,1) (345,2) 381
(346,1) (346,2) 273
(347,1) (347,2) 153
(348,1) (348,2) 471
(349,1) (349,2) 66
(350,1) (350,2) 973
(351,1) (351,2) 324
(352,1) (352,2) 62
(353,1) (353,2) 34
(354,1) (354,2) 924
(355,1) (355,2) 314
(356,1) (356,2) 535
(357,1) (357,2) 600
(358,1) (358,2) 379
(359,1) (359,2) 431
(360,1) (360,2) 610
(361,1) (361,2) 173
(362,1) (362,2) 427
(363,1) (363,2) 260
(364,1) (364,2) 522
(365,1) (365,2) 206
(366,1) (366,2) 111
(367,1) (367,2) 234
(368,1) (368,2) 294
(369,1) (369,2) 228
(370,1) (370,2) 122
(371,1) (371,2) 153
(372,1) (372,2) 203
(373,1) (373,2) 60
(374,1) (374,2) 666
(375,1) (375,2) 414
(376,1) (376,2) 418
(377,1) (377,2) 471
(378,1) (378,2) 349
(379,1) (379,2) 899
(380,1) (380,2) 481
(381,1) (381,2) 484
(382,1) (382,2) 654
(383,1) (383,2) 432
(384,1) (384,2) 369
(385,1) (385,2) 1000
(386,1) (386,2) 540
(387,1) (387,2) 431
(388,1) (388,2) 4
(389,1) (389,2) 256
(390,1) (390,2) 536
(391,1) (391,2) 685
(392,1) (392,2) 88
(393,1) (393,2) 493
(394,1) (394,2) 24
(395,1) (395,2) 348
(396,1) (396,2) 661
(397,1) (397,2) 831
(398,1) (398,2) 237
(399,1) (399,2) 462
(400,1) (400,2) 935
(401,1) (401,2) 181
(402,1) (402,2) 949
(403,1) (403,2) 677
(404,1) (404,2) 487
(405,1) (405,2) 647
(406,1) (406,2) 446
(407,1) (407,2) 413
(408,1) (408,2) 476
(409,1) (409,2) 535
(410,1) (410,2) 608
(411,1) (411,2) 954
(412,1) (412,2) 274
(413,1) (413,2) 492
(414,1) (414,2) 974
(415,1) (415,2) 590
(416,1) (416,2) 885
(417,1) (417,2) 614
(418,1) (418,2) 721
(419,1) (419,2) 635
(420,1) (420,2) 988
(421,1) (421,2) 560
(422,1) (422,2) 712
(423,1) (423,2) 54
(424,1) (424,2) 996
(425,1) (425,2) 462
(426,1) (426,2) 823
(427,1) (427,2) 836
(428,1) (428,2) 632
(429,1) (429,2) 544
(430,1) (430,2) 451
(431,1) (431,2) 255
(432,1) (432,2) 986
(433,1) (433,2) 247
(434,1) (434,2) 640
(435,1) (435,2) 777
(436,1) (436,2) 1
(437,1) (437,2) 949
(438,1) (438,2) 455
(439,1) (439,2) 914
(440,1) (440,2) 335
(441,1) (441,2) 825
(442,1) (442,2) 136
(443,1) (443,2) 12
(444,1) (444,2) 717
(445,1) (445,2) 751
(446,1) (446,2) 839
(447,1) (447,2) 178
(448,1) (448,2) 293
(449,1) (449,2) 726
(450,1) (450,2) 854
(451,1) (451,2) 33
(452,1) (452,2) 771
(453,1) (453,2) 603
(454,1) (454,2) 959
(455,1) (455,2) 487
(456,1) (456,2) 130
(457,1) (457,2) 852
(458,1) (458,2) 60
(459,1) (459,2) 552
(460,1) (460,2) 743
(461,1) (461,2) 102
(462,1) (462,2) 614
(463,1) (463,2) 232
(464,1) (464,2) 148
(465,1) (465,2) 647
(466,1) (466,2) 238
(467,1) (467,2) 98
(468,1) (468,2) 323
(469,1) (469,2) 96
(470,1) (470,2) 578
(471,1) (471,2) 631
(472,1) (472,2) 508
(473,1) (473,2) 794
(474,1) (474,2) 223
(475,1) (475,2) 611
(476,1) (476,2) 757
(477,1) (477,2) 954
(478,1) (478,2) 248
(479,1) (479,2) 281
(480,1) (480,2) 966
(481,1) (481,2) 863
(482,1) (482,2) 321
(483,1) (483,2) 742
(484,1) (484,2) 726
(485,1) (485,2) 351
(486,1) (486,2) 762
(487,1) (487,2) 43
(488,1) (488,2) 901
(489,1) (489,2) 106
(490,1) (490,2) 731
(491,1) (491,2) 228
(492,1) (492,2) 54
(493,1) (493,2) 174
(494,1) (494,2) 33
(495,1) (495,2) 749
(496,1) (496,2) 896
(497,1) (497,2) 945
(498,1) (498,2) 602
(499,1) (499,2) 645
(500,1) (500,2) 435
(1,2) (1,3) 493
(2,2) (2,3) 586
(3,2) (3,3) 322
(4,2) (4,3) 402
(5,2) (5,3) 886
(6,2) (6,3) 171
(7,2) (7,3) 924
(8,2) (8,3) 8
(9,2) (9,3) 927
(10,2) (10,3) 18
(11,2) (11,3) 70
(12,2) (12,3) 803
(13,2) (13,3) 299
(14,2) (14,3) 92
(15,2) (15,3) 710
(16,2) (16,3) 104
(17,2) (17,3) 551
(18,2) (18,3) 397
(19,2) (19,3) 934
(20,2) (20,3) 425
(21,2) (21,3) 380
(22,2) (22,3) 368
(23,2) (23,3) 115
(24,2) (24,3) 258
(25,2) (25,3) 610
(26,2) (26,3) 816
(27,2) (27,3) 707
(28,2) (28,3) 116
(29,2) (29,3) 744
(30,2) (30,3) 201
(31,2) (31,3) 220
(32,2) (32,3) 27
(33,2) (33,3) 209
(34,2) (34,3) 684
(35,2) (35,3) 511
(36,2) (36,3) 947
(37,2) (37,3) 96
(38,2) (38,3) 486
(39,2) (39,3) 178
(40,2) (40,3) 794
(41,2) (41,3) 812
(42,2) (42,3) 100
(43,2) (43,3) 437
(44,2) (44,3) 585
(45,2) (45,3) 422
(46,2) (46,3) 588
(47,2) (47,3) 229
